name,defender_name,shot_made_flag,n_shot,n_made
Al Horford,Andrew Nicholson,0,1,0
Al Horford,Andrew Wiggins,2,3,2
Al Horford,Anthony Davis,1,3,1
Al Horford,Anthony Tolliver,1,1,1
Al Horford,Aron Baynes,1,2,1
Al Horford,Austin Rivers,1,1,1
Al Horford,Avery Bradley,2,3,2
Al Horford,Bernard James,0,3,0
Al Horford,Bismack Biyombo,4,6,4
Al Horford,Blake Griffin,1,4,1
Al Horford,Bojan Bogdanovic,5,6,5
Al Horford,Bradley Beal,1,4,1
Al Horford,Brandan Wright,1,3,1
Al Horford,Brandon Jennings,1,1,1
Al Horford,Brook Lopez,15,28,15
Al Horford,CJ Miles,2,2,2
Al Horford,Carl Landry,1,1,1
Al Horford,Carlos Boozer,1,1,1
Al Horford,Carmelo Anthony,1,1,1
Al Horford,Caron Butler,1,1,1
Al Horford,Channing Frye,7,10,7
Al Horford,Chris Andersen,0,1,0
Al Horford,Chris Bosh,7,8,7
Al Horford,Chris Copeland,3,3,3
Al Horford,Chris Kaman,3,7,3
Al Horford,Chris Paul,0,4,0
Al Horford,Cole Aldrich,2,4,2
Al Horford,Cory Jefferson,1,1,1
Al Horford,D.J. Augustin,0,2,0
Al Horford,Damian Lillard,0,1,0
Al Horford,Damjan Rudez,2,2,2
Al Horford,Danilo Gallinari,1,1,1
Al Horford,Danny Green,0,1,0
Al Horford,Darrell Arthur,1,2,1
Al Horford,David Lee,1,2,1
Al Horford,David West,2,4,2
Al Horford,DeAndre Jordan,7,13,7
